"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","793","openWindowsTest()","","Wed Jan 14 21:17:51 UTC 2026","passed","Wed Jan 14 21:17:52 UTC 2026","","ui.OpenAllLinksTest","ui.OpenAllLinksTest","openWindowsTest"
"XPath Locators","577","XPath: Contains Text","","Wed Jan 14 21:17:31 UTC 2026","passed","Wed Jan 14 21:17:32 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathContainsTextLocator"
"","3581","Проверка скролла текстовой области","","Wed Jan 14 21:18:38 UTC 2026","passed","Wed Jan 14 21:18:41 UTC 2026","","ui.WebFormTests","ui.WebFormTests","textAreaScrollTest"
"","4899","Отправка формы. Поле пароль с длинным текстом","","Wed Jan 14 21:18:29 UTC 2026","passed","Wed Jan 14 21:18:34 UTC 2026","","ui.WebFormTests","ui.WebFormTests","passwordLongTextTest"
"","640","colourLaunchModalTest()","","Wed Jan 14 21:17:01 UTC 2026","passed","Wed Jan 14 21:17:02 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","colourLaunchModalTest"
"","606","Загрузка файла","","Wed Jan 14 21:17:14 UTC 2026","broken","Wed Jan 14 21:17:15 UTC 2026","","ui.InteractionsWithElementsTests","ui.InteractionsWithElementsTests","fileUploadTest"
"XPath Locators","556","XPath: Tag","","Wed Jan 14 21:17:23 UTC 2026","passed","Wed Jan 14 21:17:23 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathTagLocator"
"","611","dismissLaunchPromptTest()","","Wed Jan 14 21:17:06 UTC 2026","passed","Wed Jan 14 21:17:06 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","dismissLaunchPromptTest"
"","765","Проверка dropdown (datalist)","","Wed Jan 14 21:18:37 UTC 2026","passed","Wed Jan 14 21:18:38 UTC 2026","","ui.WebFormTests","ui.WebFormTests","dropdownDataListTest"
"CSS Locators","557","CSS Locators: Child","","Wed Jan 14 21:17:19 UTC 2026","passed","Wed Jan 14 21:17:19 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssChildLocator"
"CSS Locators","554","CSS Locators: Class + Class","","Wed Jan 14 21:17:35 UTC 2026","passed","Wed Jan 14 21:17:36 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssClassAndClassLocator"
"","621","acceptLaunchPromptTest()","","Wed Jan 14 21:17:02 UTC 2026","passed","Wed Jan 14 21:17:02 UTC 2026","","ui.DialogBoxesTest","ui.DialogBoxesTest","acceptLaunchPromptTest"
"CSS Locators","563","CSS Locators: Class name","","Wed Jan 14 21:17:20 UTC 2026","passed","Wed Jan 14 21:17:21 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssClassNameLocator"
"CSS Locators","529","CSS Locators: Tag + ID","","Wed Jan 14 21:17:33 UTC 2026","passed","Wed Jan 14 21:17:33 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssTagAndIdLocator"
"XPath Locators","598","XPath: Parent","","Wed Jan 14 21:17:21 UTC 2026","passed","Wed Jan 14 21:17:21 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathParentLocator"
"","1628","Отправка формы с включенным чек-боксом Checked","","Wed Jan 14 21:18:56 UTC 2026","broken","Wed Jan 14 21:18:58 UTC 2026","","ui.WebFormTests","ui.WebFormTests","checkedIsDisabledTest"
"XPath Locators","545","XPath: Относительный путь","","Wed Jan 14 21:17:30 UTC 2026","passed","Wed Jan 14 21:17:30 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathLocator"
"","528","Количество страниц","","Wed Jan 14 21:17:40 UTC 2026","passed","Wed Jan 14 21:17:41 UTC 2026","","ui.NavigationExampleTests","ui.NavigationExampleTests","numberOfPagesTest"
"","606","sessionStorageTest()","","Wed Jan 14 21:19:04 UTC 2026","passed","Wed Jan 14 21:19:05 UTC 2026","","ui.WebStorageTests","ui.WebStorageTests","sessionStorageTest"
"Base Locators","544","Base Locators: Tag Name","","Wed Jan 14 21:17:34 UTC 2026","passed","Wed Jan 14 21:17:35 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","tagNameLocator"
"","1081","Отправка формы (SubmitButton)","","Wed Jan 14 21:17:12 UTC 2026","passed","Wed Jan 14 21:17:13 UTC 2026","","ui.InteractionsWithElementsTests","ui.InteractionsWithElementsTests","submitWebFormWitTextTest"
"","9121","openAllLinks()","","Wed Jan 14 21:17:42 UTC 2026","passed","Wed Jan 14 21:17:51 UTC 2026","","ui.OpenAllLinksTest","ui.OpenAllLinksTest","openAllLinks"
"CSS Locators","588","CSS Locators: Suffix","","Wed Jan 14 21:17:16 UTC 2026","passed","Wed Jan 14 21:17:16 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","cssSuffixLocator"
"XPath Locators","538","XPath: Following-sibling","","Wed Jan 14 21:17:32 UTC 2026","passed","Wed Jan 14 21:17:33 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathFollowingSiblingLocator"
"","644","Невозможность ввести текст/знаки в заблокированное поле","","Wed Jan 14 21:18:29 UTC 2026","passed","Wed Jan 14 21:18:29 UTC 2026","","ui.WebFormTests","ui.WebFormTests","disabledInputTest"
"","606","localStorageSetSeveralItemTest()","","Wed Jan 14 21:19:01 UTC 2026","passed","Wed Jan 14 21:19:02 UTC 2026","","ui.WebStorageTests","ui.WebStorageTests","localStorageSetSeveralItemTest"
"","788","Отправка формы с датой","","Wed Jan 14 21:18:42 UTC 2026","passed","Wed Jan 14 21:18:43 UTC 2026","","ui.WebFormTests","ui.WebFormTests","datePickerTest2"
"","798","openLoginPageTest()","","Wed Jan 14 21:17:54 UTC 2026","passed","Wed Jan 14 21:17:55 UTC 2026","","ui.Selen","ui.Selen","openLoginPageTest"
"","1644","Невозможность включения двух чекбоксов радио","","Wed Jan 14 21:18:59 UTC 2026","broken","Wed Jan 14 21:19:01 UTC 2026","","ui.WebFormTests","ui.WebFormTests","bothRadioCheckboxTest"
"XPath Locators","544","XPath: Descendant","","Wed Jan 14 21:17:23 UTC 2026","passed","Wed Jan 14 21:17:24 UTC 2026","","ui.LocatorTypesTests","ui.LocatorTypesTests","xpathDescendantLocator"
